Muscle Group,Exercise,Equipment
Muscle Targeted:Chest,Dumbbell Bench Press,Equipment Type:Dumbbell
Muscle Targeted:Chest,Pushups,Equipment Type:Body Only
Muscle Targeted:Chest,Close-grip bench press,Equipment Type:Barbell
Muscle Targeted:Chest,Dumbbell Flyes,Equipment Type:Dumbbell
Muscle Targeted:Chest,Incline dumbbell bench press,Equipment Type:Dumbbell
Muscle Targeted:Chest,Low-cable cross-over,Equipment Type:Cable
Muscle Targeted:Chest,Barbell Bench Press - Medium Grip,Equipment Type:Barbell
Muscle Targeted:Chest,Chest dip,Equipment Type:Other
Muscle Targeted:Chest,Decline Dumbbell Flyes,Equipment Type:Dumbbell
Muscle Targeted:Chest,Bodyweight Flyes,Equipment Type:E-Z Curl Bar
Muscle Targeted:Chest,Incline cable chest fly,Equipment Type:Cable
Muscle Targeted:Chest,Decline barbell bench press,Equipment Type:Barbell
Muscle Targeted:Chest,Wide-grip bench press,Equipment Type:Barbell
Muscle Targeted:Chest,Wide-Grip Decline Barbell Bench Press,Equipment Type:Barbell
Muscle Targeted:Chest,Reverse-grip incline dumbbell bench press,Equipment Type:Dumbbell
Muscle Targeted:Neck,Lying Face Down Plate Neck Resistance,Equipment Type:Other
Muscle Targeted:Neck,Lying Face Up Plate Neck Resistance,Equipment Type:Other
Muscle Targeted:Neck,Seated Head Harness Neck Resistance,Equipment Type:Other
Muscle Targeted:Neck,Isometric Neck Exercise - Sides,Equipment Type:Body Only
Muscle Targeted:Neck,Isometric Neck Exercise - Front And Back,Equipment Type:Body Only
Muscle Targeted:Neck,Side Neck Stretch,Equipment Type:Body Only
Muscle Targeted:Neck,Chin To Chest Stretch,Equipment Type:None
Muscle Targeted:Neck,Neck-SMR,Equipment Type:Body Only
Muscle Targeted:Neck,Neck Bridge Prone,Equipment Type:Body Only
Muscle Targeted:Traps,Smith machine shrug,Equipment Type:Machine
Muscle Targeted:Traps,Leverage Shrug,Equipment Type:Machine
Muscle Targeted:Traps,Standing dumbbell shrug,Equipment Type:Dumbbell
Muscle Targeted:Traps,Standing dumbbell upright row,Equipment Type:Dumbbell
Muscle Targeted:Traps,Kettlebell sumo deadlift high pull,Equipment Type:Kettlebells
Muscle Targeted:Traps,Calf-Machine Shoulder Shrug,Equipment Type:Machine
Muscle Targeted:Traps,Barbell shrug,Equipment Type:Barbell
Muscle Targeted:Traps,Barbell behind-the-back shrug,Equipment Type:Barbell
Muscle Targeted:Traps,Cable straight-bar upright row,Equipment Type:Cable
Muscle Targeted:Traps,Cable shrug,Equipment Type:Cable
Muscle Targeted:Traps,Smith machine behind-the-back shrug,Equipment Type:Machine
Muscle Targeted:Traps,Upright Row - With Bands,Equipment Type:Bands
Muscle Targeted:Traps,Smith machine upright row,Equipment Type:Machine
Muscle Targeted:Traps,Clean Shrug,Equipment Type:Barbell
Muscle Targeted:Traps,Scapular Pull-Up,Equipment Type:None
Muscle Targeted:Shoulders,Dumbbell front raise to lateral raise,Equipment Type:Dumbbell
Muscle Targeted:Shoulders,Clean and press,Equipment Type:Barbell
Muscle Targeted:Shoulders,Single-arm palm-in dumbbell shoulder press,Equipment Type:Dumbbell
Muscle Targeted:Shoulders,Clean and jerk,Equipment Type:Barbell
Muscle Targeted:Shoulders,Single-arm kettlebell push-press,Equipment Type:Kettlebells
Muscle Targeted:Shoulders,Military press,Equipment Type:Barbell
Muscle Targeted:Shoulders,Standing palms-in shoulder press,Equipment Type:Dumbbell
Muscle Targeted:Shoulders,Seated barbell shoulder press,Equipment Type:Barbell
Muscle Targeted:Shoulders,Seated Dumbbell Press,Equipment Type:Dumbbell
Muscle Targeted:Shoulders,Standing dumbbell shoulder press,Equipment Type:Dumbbell
Muscle Targeted:Shoulders,Single-arm lateral raise,Equipment Type:Dumbbell
Muscle Targeted:Shoulders,Power Partials,Equipment Type:Dumbbell
Muscle Targeted:Shoulders,Incline dumbbell reverse fly,Equipment Type:Dumbbell
Muscle Targeted:Shoulders,Overhead dumbbell front raise,Equipment Type:Dumbbell
Muscle Targeted:Shoulders,Seated dumbbell shoulder press,Equipment Type:Dumbbell
Muscle Targeted:Biceps,Incline Hammer Curls,Equipment Type:Dumbbell
Muscle Targeted:Biceps,Wide-grip barbell curl,Equipment Type:Barbell
Muscle Targeted:Biceps,EZ-bar spider curl,Equipment Type:Barbell
Muscle Targeted:Biceps,Hammer Curls,Equipment Type:Dumbbell
Muscle Targeted:Biceps,EZ-Bar Curl,Equipment Type:E-Z Curl Bar
Muscle Targeted:Biceps,Zottman Curl,Equipment Type:
Muscle Targeted:Biceps,Biceps curl to shoulder press,Equipment Type:Dumbbell
Muscle Targeted:Biceps,Barbell Curl,Equipment Type:Barbell
Muscle Targeted:Biceps,Concentration curl,Equipment Type:Dumbbell
Muscle Targeted:Biceps,Flexor Incline Dumbbell Curls,Equipment Type:Dumbbell
Muscle Targeted:Biceps,Machine Bicep Curl,Equipment Type:Machine
Muscle Targeted:Biceps,Overhead cable curl,Equipment Type:Cable
Muscle Targeted:Biceps,Dumbbell Bicep Curl,Equipment Type:Dumbbell
Muscle Targeted:Biceps,Close-grip EZ-bar curl,Equipment Type:Barbell
Muscle Targeted:Biceps,Cross-body hammer curl,Equipment Type:Dumbbell
Muscle Targeted:Forearms,Rickshaw Carry,Equipment Type:Other
Muscle Targeted:Forearms,Palms-down wrist curl over bench,Equipment Type:Barbell
Muscle Targeted:Forearms,Straight-bar wrist roll-up,Equipment Type:
Muscle Targeted:Forearms,Dumbbell farmer's walk,Equipment Type:Other
Muscle Targeted:Forearms,Palms-up wrist curl over bench,Equipment Type:Barbell
Muscle Targeted:Forearms,Standing behind-the-back wrist curl,Equipment Type:Barbell
Muscle Targeted:Forearms,Seated finger curl,Equipment Type:Barbell
Muscle Targeted:Forearms,Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,Equipment Type:Cable
Muscle Targeted:Forearms,Wrist Roller,Equipment Type:Other
Muscle Targeted:Forearms,Seated One-Arm Dumbbell Palms-Up Wrist Curl,Equipment Type:Dumbbell
Muscle Targeted:Forearms,Seated Palms-Down Barbell Wrist Curl,Equipment Type:
Muscle Targeted:Forearms,Dumbbell Lying Supination,Equipment Type:
Muscle Targeted:Forearms,Dumbbell Lying Pronation,Equipment Type:
Muscle Targeted:Forearms,Seated palms-up wrist curl,Equipment Type:Barbell
Muscle Targeted:Forearms,Palms-Up Dumbbell Wrist Curl Over A Bench,Equipment Type:Dumbbell
Muscle Targeted:Abdominals,Landmine twist,Equipment Type:Other
Muscle Targeted:Abdominals,Elbow plank,Equipment Type:Body Only
Muscle Targeted:Abdominals,Bottoms Up,Equipment Type:Body Only
Muscle Targeted:Abdominals,Suspended ab fall-out,Equipment Type:Other
Muscle Targeted:Abdominals,Dumbbell V-Sit Cross Jab,Equipment Type:Dumbbell
Muscle Targeted:Abdominals,Standing cable low-to-high twist,Equipment Type:Cable
Muscle Targeted:Abdominals,Dumbbell spell caster,Equipment Type:Dumbbell
Muscle Targeted:Abdominals,Decline reverse crunch,Equipment Type:Other
Muscle Targeted:Abdominals,Spider crawl,Equipment Type:Body Only
Muscle Targeted:Abdominals,Cocoons,Equipment Type:Body Only
Muscle Targeted:Abdominals,Cross-Body Crunch,Equipment Type:Body Only
Muscle Targeted:Abdominals,Single-arm high-cable side bend,Equipment Type:Cable
Muscle Targeted:Abdominals,Elbow-to-knee crunch,Equipment Type:Body Only
Muscle Targeted:Abdominals,Decline Crunch,Equipment Type:Body Only
Muscle Targeted:Abdominals,Hanging toes-to-bar,Equipment Type:Body Only
Muscle Targeted:Quadriceps,Single-Leg Press,Equipment Type:Machine
Muscle Targeted:Quadriceps,Clean from Blocks,Equipment Type:Barbell
Muscle Targeted:Quadriceps,Barbell Full Squat,Equipment Type:Barbell
Muscle Targeted:Quadriceps,Tire flip,Equipment Type:Other
Muscle Targeted:Quadriceps,Barbell back squat to box,Equipment Type:Barbell
Muscle Targeted:Quadriceps,Push-press,Equipment Type:Barbell
Muscle Targeted:Quadriceps,Power snatch-,Equipment Type:Barbell
Muscle Targeted:Quadriceps,Hang Clean,Equipment Type:Barbell
Muscle Targeted:Quadriceps,Reverse Band Box Squat,Equipment Type:
Muscle Targeted:Quadriceps,Jumping rope,Equipment Type:Body Only
Muscle Targeted:Quadriceps,Barbell walking lunge,Equipment Type:Barbell
Muscle Targeted:Quadriceps,Front Squats With Two Kettlebells,Equipment Type:Kettlebells
Muscle Targeted:Quadriceps,Single Leg Push-off,Equipment Type:Other
Muscle Targeted:Quadriceps,Olympic Squat,Equipment Type:Barbell
Muscle Targeted:Quadriceps,Stair climber,Equipment Type:Machine
Muscle Targeted:Calves,Smith Machine Calf Raise,Equipment Type:Machine
Muscle Targeted:Calves,Standing Calf Raises,Equipment Type:Machine
Muscle Targeted:Calves,Seated Calf Raise,Equipment Type:Machine
Muscle Targeted:Calves,Calf Press On The Leg Press Machine,Equipment Type:Machine
Muscle Targeted:Calves,Rocking Standing Calf Raise,Equipment Type:Barbell
Muscle Targeted:Calves,Calf Press,Equipment Type:Machine
Muscle Targeted:Calves,Standing barbell calf raise,Equipment Type:Barbell
Muscle Targeted:Calves,Barbell Seated Calf Raise,Equipment Type:Barbell
Muscle Targeted:Calves,Balance Board,Equipment Type:Other
Muscle Targeted:Calves,Weighted donkey calf raise,Equipment Type:Other
Muscle Targeted:Calves,Smith Machine Reverse Calf Raises,Equipment Type:Machine
Muscle Targeted:Calves,Dumbbell Seated One-Leg Calf Raise,Equipment Type:Dumbbell
Muscle Targeted:Calves,Ankle Circles,Equipment Type:None
Muscle Targeted:Calves,Peroneals-SMR,Equipment Type:Body Only
Muscle Targeted:Calves,Knee Circles,Equipment Type:Body Only
Muscle Targeted:Triceps,Triceps dip,Equipment Type:Body Only
Muscle Targeted:Triceps,Decline EZ-bar skullcrusher,Equipment Type:E-Z Curl Bar
Muscle Targeted:Triceps,Dumbbell floor press,Equipment Type:Dumbbell
Muscle Targeted:Triceps,Cable V-bar push-down,Equipment Type:Cable
Muscle Targeted:Triceps,Weighted bench dip,Equipment Type:Body Only
Muscle Targeted:Triceps,EZ-Bar Skullcrusher,Equipment Type:E-Z Curl Bar
Muscle Targeted:Triceps,Reverse Grip Triceps Pushdown,Equipment Type:Cable
Muscle Targeted:Triceps,Push-Ups - Close Triceps Position,Equipment Type:Body Only
